EMPLOYEE ID,NAME,SALARY
E1064,Employee_459,
E1032,Employee_496,
E1092,Employee_85,
E1054,Employee_152,20422
E1016,Employee_160,104128
E1050,Employee_233,141028
E1072,Employee_77,
E1015,Employee_93,
E1039,Employee_327,46004
E1012,Employee_265,
E1059,Employee_338,96173
E1032,Employee_544,77391
E1046,Employee_72,
E1058,Employee_269,
E1082,Employee_244,96230
E1091,Employee_120,60750
E1060,Employee_520,
E1086,Employee_559,126535
E1073,Employee_575,
E1030,Employee_476,
E1050,Employee_235,100239
E1060,Employee_303,
E1021,Employee_74,
E1017,Employee_243,
E1047,Employee_230,125283
E1069,Employee_42,86670
E1014,Employee_114,144673
E1058,Employee_410,20582
E1099,Employee_355,
E1054,Employee_308,
E1035,Employee_413,117039
E1025,Employee_150,50525
E1035,Employee_309,26195
E1033,Employee_198,14284
E1072,Employee_423,
E1040,Employee_392,
E1032,Employee_342,
E1003,Employee_121,65548
E1036,Employee_280,
E1054,Employee_157,87217
E1094,Employee_13,
E1023,Employee_495,21337
E1058,Employee_90,53401
E1073,Employee_547,
E1077,Employee_444,124178
E1065,Employee_558,
E1089,Employee_378,
E1042,Employee_182,100894
E1016,Employee_50,40916
E1041,Employee_440,102604
E1095,Employee_498,
E1072,Employee_289,69919
E1057,Employee_5,48524
E1084,Employee_535,
,Employee_263,
E1071,Employee_386,74084
E1085,Employee_551,57457
,Employee_75,72208
E1043,Employee_382,
E1093,Employee_176,40202
E1041,Employee_29,114038
E1005,Employee_595,
E1068,Employee_577,59481
E1025,Employee_436,77261
E1078,Employee_240,
E1028,Employee_98,40729
E1062,Employee_321,
E1022,Employee_399,114612
E1067,Employee_416,
E1025,Employee_172,
E1024,Employee_204,28272
E1086,Employee_272,87640
E1012,Employee_472,
E1024,Employee_3,60982
E1031,Employee_435,
E1012,Employee_449,149876
E1009,Employee_232,
E1087,Employee_91,74441
E1041,Employee_6,149869
E1045,Employee_301,
E1062,Employee_322,
E1084,Employee_581,143283
E1062,Employee_528,59321
E1087,Employee_554,63108
E1015,Employee_479,130419
E1022,Employee_332,
E1052,Employee_468,
E1018,Employee_407,122180
E1027,Employee_39,120627
E1064,Employee_467,
E1009,Employee_376,123166
E1087,Employee_523,
E1063,Employee_159,
E1061,Employee_438,
E1026,Employee_164,47305
E1098,Employee_277,12261
E1075,Employee_508,80891
E1020,Employee_7,36158
E1060,Employee_297,
E1074,Employee_426,87516
E1075,Employee_328,13608
E1063,Employee_84,
E1058,Employee_356,
E1063,Employee_337,
E1099,Employee_533,123851
E1020,Employee_184,
E1061,Employee_264,
E1088,Employee_186,139568
E1069,Employee_586,
E1053,Employee_409,
E1027,Employee_526,108566
E1059,Employee_594,
E1085,Employee_475,84782
E1024,Employee_178,
E1079,Employee_419,
E1064,Employee_477,
E1030,Employee_300,
E1028,Employee_86,
E1007,Employee_215,140664
E1012,Employee_312,
E1060,Employee_507,109702
E1057,Employee_158,18484
E1069,Employee_310,40889
E1026,Employee_487,
E1085,Employee_177,23290
E1028,Employee_454,105794
E1052,Employee_296,
E1001,Employee_427,73245
E1031,Employee_587,
E1045,Employee_453,
E1087,Employee_154,122384
E1065,Employee_81,128250
E1089,Employee_171,70562
E1028,Employee_237,
E1009,Employee_406,51211
E1068,Employee_491,
E1080,Employee_504,
E1089,Employee_153,
E1045,Employee_424,
,Employee_597,146514
E1092,Employee_219,34010
E1027,Employee_478,
E1052,Employee_428,
E1065,Employee_293,139371
E1022,Employee_395,
E1032,Employee_578,105747
E1098,Employee_249,94455
E1023,Employee_187,
E1057,Employee_450,
E1027,Employee_335,
E1044,Employee_534,27006
E1016,Employee_556,22948
E1002,Employee_401,
E1038,Employee_36,21007
E1048,Employee_339,66705
E1025,Employee_552,
E1050,Employee_550,83482
E1043,Employee_369,90173
E1040,Employee_568,84166
E1061,Employee_21,
E1099,Employee_222,89778
,Employee_282,
E1097,Employee_147,
E1001,Employee_108,56619
E1051,Employee_546,
E1094,Employee_388,52921
E1081,Employee_94,51827
E1050,Employee_124,124627
E1072,Employee_266,
E1070,Employee_307,
E1036,Employee_313,10291
E1057,Employee_365,
E1009,Employee_304,
E1077,Employee_527,
E1097,Employee_286,128005
E1062,Employee_360,118705
E1037,Employee_89,
E1053,Employee_512,58559
E1020,Employee_20,141239
E1004,Employee_285,
E1061,Employee_333,145348
E1046,Employee_67,33281
E1065,Employee_560,
E1066,Employee_525,
E1084,Employee_229,18885
E1037,Employee_44,
E1006,Employee_403,12519
E1072,Employee_589,70845
E1051,Employee_65,
E1013,Employee_119,
E1097,Employee_368,52513
E1042,Employee_465,
E1031,Employee_389,
E1007,Employee_352,112167
E1026,Employee_543,114768
E1084,Employee_45,
E1074,Employee_217,45556
E1011,Employee_511,
E1070,Employee_415,
E1002,Employee_443,
E1099,Employee_16,49657
E1009,Employee_188,
E1032,Employee_367,46839
E1034,Employee_261,
E1021,Employee_501,138532
E1083,Employee_421,
E1063,Employee_278,
E1047,Employee_151,114962
E1039,Employee_298,
E1069,Employee_377,
E1058,Employee_183,32691
E1060,Employee_374,52750
E1075,Employee_2,144481
E1026,Employee_451,
E1013,Employee_17,37288
E1068,Employee_254,71868
E1071,Employee_347,
E1093,Employee_564,149541
E1078,Employee_141,43522
E1082,Employee_53,28992
E1016,Employee_268,
E1055,Employee_80,
E1007,Employee_166,35004
E1042,Employee_127,148512
E1029,Employee_341,
E1058,Employee_148,
E1020,Employee_96,107698
E1085,Employee_213,38585
E1078,Employee_117,61324
E1018,Employee_362,
E1035,Employee_142,16117
E1049,Employee_200,
E1035,Employee_181,
E1021,Employee_206,141013
E1011,Employee_59,
E1021,Employee_33,60536
E1076,Employee_256,92194
E1001,Employee_239,
E1093,Employee_180,119288
E1013,Employee_144,62744
E1058,Employee_291,
E1013,Employee_566,100851
E1016,Employee_46,
E1091,Employee_106,82703
,Employee_571,74840
E1031,Employee_163,
E1016,Employee_185,
E1030,Employee_404,
E1072,Employee_113,45260
E1043,Employee_306,
E1081,Employee_541,
E1030,Employee_425,57888
E1023,Employee_191,
E1063,Employee_64,
E1057,Employee_353,
E1092,Employee_38,
E1045,Employee_422,
E1046,Employee_193,35419
E1042,Employee_279,31806
E1075,Employee_372,
E1001,Employee_248,
E1047,Employee_30,
E1005,Employee_481,139431
E1081,Employee_130,
E1005,Employee_542,
E1082,Employee_9,
E1007,Employee_408,19839
E1042,Employee_202,
E1092,Employee_324,
E1072,Employee_225,92273
E1019,Employee_62,
E1061,Employee_79,
E1064,Employee_344,60281
E1039,Employee_221,
E1041,Employee_48,
E1018,Employee_0,
E1039,Employee_95,
E1050,Employee_259,
E1080,Employee_43,
E1089,Employee_12,
E1098,Employee_137,56414
E1005,Employee_318,
E1065,Employee_134,
E1083,Employee_387,148368
E1011,Employee_267,
E1012,Employee_276,
E1062,Employee_252,64574
E1055,Employee_500,93815
E1043,Employee_149,
E1050,Employee_441,100146
